site_id,refYear,latitude,longitude,Lonsdorf_big,Lonsdorf_small
ES1ACH01,2022,37.25022,-6.74492,0.14159903631405946,0.19633645002945085
ES1ALM01,2022,37.22261,-6.49975,0.17352170208663517,0.2358461577922716
ES1AZD01,2022,37.25774,-6.20492,0.3185512483346536,0.37925664170059714
ES1AZN01,2022,37.23483,-6.16897,0.2842363824466941,0.350125106702373
ES1BON01,2022,37.331111,-6.667778,0.06117403609297315,0.08144187964190701
ES1CAI01,2022,37.3,-6.689722,0.1351691073864031,0.19168312571980245
ES1CAM01,2022,37.27652,-6.22105,0.25335783154193653,0.34249953532013494
ES1CON01,2022,37.29183,-6.75247,0.1086753679375389,0.12487788840413416
ES1CRU01,2022,37.33639,-6.48321,0.26396943045621607,0.34976474586946216
ES1CUN01,2022,37.23293,-6.55494,0.18390125420435477,0.1349366097750712
ES1CUT01,2022,37.34943,-6.50578,0.16077204473787038,0.2200932037632148
ES1DEH01,2022,37.35591,-6.60393,0.0690783997618841,0.09686874101664784
ES1DUN01,2022,37.36809,-6.54945,0.05550818899271554,0.11433558503823747
ES1ECO01,2022,37.30863,-6.46184,0.22884546517205265,0.1738253988668399
ES1ENT01,2022,37.18759,-6.49773,0.12445882612788416,0.15122211624425072
ES1ESP01,2022,37.28172,-6.55538,0.09191919361951724,0.09938202794829351
ES1HER01,2022,37.277778,-6.600278,0.08005849873868535,0.06846553013964211
ES1HIN01,2022,37.28925,-6.43359,0.304060135383238,0.33357866555264026
ES1MAJ01,2022,37.22494,-6.19798,0.26338611244261567,0.3051949727623742
ES1MEI01,2022,37.24388,-6.60103,0.13927358112932647,0.13676990353761603
ES1MIA01,2022,37.305556,-6.6125,0.05885065710799671,0.04074612950820596
ES1PER01,2022,37.28306,-6.38197,0.17636419674242346,0.1561131327795706
ES1PIN01,2022,37.19594,-6.76125,0.20683532759657594,0.1742957047400706
ES1POI01,2022,37.234167,-6.383889,0.2635696388168803,0.2773209792577636
ES1POZ01,2022,37.24921,-6.66097,0.3028075913632867,0.3522373229648675
ES1ROC01,2022,37.12381,-6.50691,0.17166402389907584,0.2320341426654757
ES1TOR01,2022,37.24988,-6.23855,0.23967773292862954,0.2643100606518803
ES1URB01,2022,37.28806,-6.67508,0.16005203217022257,0.10976256742664234
